dateTime,value
01/04/2025 17:30,1.351
01/04/2025 17:45,1.35
01/04/2025 18:00,1.35
01/04/2025 18:15,1.349
01/04/2025 18:30,1.349
01/04/2025 18:45,1.347
01/04/2025 19:00,1.346
01/04/2025 19:15,1.346
01/04/2025 19:30,1.344
01/04/2025 19:45,1.344
01/04/2025 20:00,1.345
01/04/2025 20:15,1.347
01/04/2025 20:30,1.347
01/04/2025 20:45,1.348
01/04/2025 21:00,
01/04/2025 21:15,
01/04/2025 21:30,
01/04/2025 21:45,
01/04/2025 22:00,
01/04/2025 22:15,
01/04/2025 22:30,
01/04/2025 22:45,
01/04/2025 23:00,
01/04/2025 23:15,
01/04/2025 23:30,
01/04/2025 23:45,
02/04/2025 00:00,1.395
02/04/2025 00:15,
02/04/2025 00:30,
02/04/2025 00:45,
02/04/2025 01:00,
02/04/2025 01:15,
02/04/2025 01:30,
02/04/2025 01:45,
02/04/2025 02:00,
02/04/2025 02:15,
02/04/2025 02:30,
02/04/2025 02:45,
02/04/2025 03:00,1.413
02/04/2025 03:15,
02/04/2025 03:30,
02/04/2025 03:45,
02/04/2025 04:00,
02/04/2025 04:15,
02/04/2025 04:30,
02/04/2025 04:45,
02/04/2025 05:00,
02/04/2025 05:15,
02/04/2025 05:30,
02/04/2025 05:45,
02/04/2025 06:00,1.433
02/04/2025 06:15,
02/04/2025 06:30,
02/04/2025 06:45,
02/04/2025 07:00,
02/04/2025 07:15,
02/04/2025 07:30,
02/04/2025 07:45,
02/04/2025 08:00,
02/04/2025 08:15,
02/04/2025 08:30,
02/04/2025 08:45,
02/04/2025 09:00,1.453
02/04/2025 09:15,
02/04/2025 09:30,
02/04/2025 09:45,
02/04/2025 10:00,
02/04/2025 10:15,
02/04/2025 10:30,
02/04/2025 10:45,
02/04/2025 11:00,
02/04/2025 11:15,
02/04/2025 11:30,
02/04/2025 11:45,
02/04/2025 12:00,1.473
02/04/2025 12:15,
02/04/2025 12:30,
02/04/2025 12:45,
02/04/2025 13:00,
02/04/2025 13:15,
02/04/2025 13:30,
02/04/2025 13:45,
02/04/2025 14:00,
02/04/2025 14:15,
02/04/2025 14:30,
02/04/2025 14:45,
02/04/2025 15:00,
02/04/2025 15:15,
02/04/2025 15:30,
02/04/2025 15:45,
02/04/2025 16:00,
02/04/2025 16:15,
02/04/2025 16:30,
02/04/2025 16:45,
02/04/2025 17:00,
02/04/2025 17:15,
02/04/2025 17:30,
02/04/2025 17:45,
02/04/2025 18:00,
02/04/2025 18:15,
02/04/2025 18:30,
02/04/2025 18:45,
02/04/2025 19:00,
02/04/2025 19:15,
02/04/2025 19:30,
02/04/2025 19:45,
02/04/2025 20:00,
02/04/2025 20:15,
02/04/2025 20:30,
02/04/2025 20:45,
02/04/2025 21:00,
02/04/2025 21:15,
02/04/2025 21:30,
02/04/2025 21:45,
02/04/2025 22:00,
02/04/2025 22:15,
02/04/2025 22:30,
02/04/2025 22:45,
02/04/2025 23:00,
02/04/2025 23:15,
02/04/2025 23:30,
02/04/2025 23:45,
03/04/2025 00:00,1.476
03/04/2025 00:15,
03/04/2025 00:30,
03/04/2025 00:45,
03/04/2025 01:00,
03/04/2025 01:15,
03/04/2025 01:30,
03/04/2025 01:45,
03/04/2025 02:00,
03/04/2025 02:15,
03/04/2025 02:30,
03/04/2025 02:45,
03/04/2025 03:00,1.453
03/04/2025 03:15,
03/04/2025 03:30,
03/04/2025 03:45,
03/04/2025 04:00,
03/04/2025 04:15,
03/04/2025 04:30,
03/04/2025 04:45,
03/04/2025 05:00,
03/04/2025 05:15,
03/04/2025 05:30,
03/04/2025 05:45,
03/04/2025 06:00,1.438
03/04/2025 06:15,
03/04/2025 06:30,
03/04/2025 06:45,
03/04/2025 07:00,
03/04/2025 07:15,
03/04/2025 07:30,
03/04/2025 07:45,
03/04/2025 08:00,
03/04/2025 08:15,
03/04/2025 08:30,
03/04/2025 08:45,
03/04/2025 09:00,1.43
03/04/2025 09:15,
03/04/2025 09:30,
03/04/2025 09:45,
03/04/2025 10:00,
03/04/2025 10:15,
03/04/2025 10:30,
03/04/2025 10:45,
03/04/2025 11:00,
03/04/2025 11:15,
03/04/2025 11:30,
03/04/2025 11:45,
03/04/2025 12:00,1.418
03/04/2025 12:15,
03/04/2025 12:30,
03/04/2025 12:45,
03/04/2025 13:00,
03/04/2025 13:15,
03/04/2025 13:30,
03/04/2025 13:45,
03/04/2025 14:00,
03/04/2025 14:15,
03/04/2025 14:30,
03/04/2025 14:45,
03/04/2025 15:00,
03/04/2025 15:15,
03/04/2025 15:30,
03/04/2025 15:45,
03/04/2025 16:00,
03/04/2025 16:15,
03/04/2025 16:30,
03/04/2025 16:45,
03/04/2025 17:00,
03/04/2025 17:15,
03/04/2025 17:30,
03/04/2025 17:45,
03/04/2025 18:00,
03/04/2025 18:15,
03/04/2025 18:30,
03/04/2025 18:45,
03/04/2025 19:00,
03/04/2025 19:15,
03/04/2025 19:30,
03/04/2025 19:45,
03/04/2025 20:00,
03/04/2025 20:15,
03/04/2025 20:30,
03/04/2025 20:45,
03/04/2025 21:00,
03/04/2025 21:15,
03/04/2025 21:30,
03/04/2025 21:45,
03/04/2025 22:00,
03/04/2025 22:15,
03/04/2025 22:30,
03/04/2025 22:45,
03/04/2025 23:00,
03/04/2025 23:15,
03/04/2025 23:30,
03/04/2025 23:45,
04/04/2025 00:00,1.37
04/04/2025 00:15,
04/04/2025 00:30,
04/04/2025 00:45,
04/04/2025 01:00,
04/04/2025 01:15,
04/04/2025 01:30,
04/04/2025 01:45,
04/04/2025 02:00,
04/04/2025 02:15,
04/04/2025 02:30,
04/04/2025 02:45,
04/04/2025 03:00,1.352
04/04/2025 03:15,
04/04/2025 03:30,
04/04/2025 03:45,
04/04/2025 04:00,
04/04/2025 04:15,
04/04/2025 04:30,
04/04/2025 04:45,
04/04/2025 05:00,
04/04/2025 05:15,
04/04/2025 05:30,
04/04/2025 05:45,
04/04/2025 06:00,1.331
04/04/2025 06:15,
04/04/2025 06:30,
04/04/2025 06:45,
04/04/2025 07:00,
04/04/2025 07:15,
04/04/2025 07:30,
04/04/2025 07:45,
04/04/2025 08:00,
04/04/2025 08:15,
04/04/2025 08:30,
04/04/2025 08:45,
04/04/2025 09:00,1.322
04/04/2025 09:15,
04/04/2025 09:30,
04/04/2025 09:45,
04/04/2025 10:00,
04/04/2025 10:15,
04/04/2025 10:30,
04/04/2025 10:45,
04/04/2025 11:00,
04/04/2025 11:15,
04/04/2025 11:30,
04/04/2025 11:45,
04/04/2025 12:00,1.312
04/04/2025 12:15,
04/04/2025 12:30,
04/04/2025 12:45,
04/04/2025 13:00,
04/04/2025 13:15,
04/04/2025 13:30,
04/04/2025 13:45,
04/04/2025 14:00,
04/04/2025 14:15,
04/04/2025 14:30,
04/04/2025 14:45,
04/04/2025 15:00,
04/04/2025 15:15,
04/04/2025 15:30,
04/04/2025 15:45,
04/04/2025 16:00,
04/04/2025 16:15,
04/04/2025 16:30,
04/04/2025 16:45,1.315
04/04/2025 17:00,1.314
04/04/2025 17:15,1.313
04/04/2025 17:30,1.312
04/04/2025 17:45,1.311
04/04/2025 18:00,1.311
04/04/2025 18:15,1.308
04/04/2025 18:30,1.307
04/04/2025 18:45,1.306
04/04/2025 19:00,1.304
04/04/2025 19:15,1.303
04/04/2025 19:30,1.301
04/04/2025 19:45,1.301
04/04/2025 20:00,1.298
04/04/2025 20:15,1.297
04/04/2025 20:30,1.296
04/04/2025 20:45,1.292
04/04/2025 21:00,1.292
04/04/2025 21:15,1.291
04/04/2025 21:30,1.29
04/04/2025 21:45,1.288
04/04/2025 22:00,1.287
04/04/2025 22:15,1.285
04/04/2025 22:30,1.283
04/04/2025 22:45,1.281
04/04/2025 23:00,1.28
04/04/2025 23:15,1.277
04/04/2025 23:30,1.277
04/04/2025 23:45,1.277
